DATE,Monthly Material Change,VIX Change
1/10/2006,-0.54555,-0.07345576
1/11/2006,-1.37137,-0.017117117
1/12/2006,0,0.059578368
1/01/2007,0.72303,-0.098615917
1/02/2007,0.22087,0.479846449
1/03/2007,0.55096,-0.050583658
1/04/2007,0.65753,-0.028688525
1/05/2007,0.16331,-0.082278481
1/06/2007,0,0.243678161
1/07/2007,0.1087,0.449168207
1/08/2007,-0.16287,-0.005952423
1/09/2007,-0.27189,-0.230111173
1/10/2007,-0.2181,0.0294445
1/11/2007,0.16393,0.234214774
1/12/2007,0.10911,-0.016178443
1/01/2008,0.43597,0.164444489
1/02/2008,0.75963,0.012977099
1/03/2008,1.13086,-0.035041446
1/04/2008,1.65069,-0.188207724
1/05/2008,2.56679,-0.142376184
1/06/2008,2.34934,0.343241784
1/07/2008,1.49701,-0.042171188
1/08/2008,1.52409,-0.099825671
1/09/2008,-0.09685,0.907506005
1/10/2008,-2.18129,0.520436672
1/11/2008,-1.09019,-0.076974454
1/12/2008,-2.40481,-0.276410985
1/01/2009,-0.77002,0.121
1/02/2009,-1.08639,0.033675245
1/03/2009,-0.52301,-0.047680671
1/04/2009,-1.1041,-0.173085618
1/05/2009,-0.63796,-0.207671233
1/06/2009,0.10701,-0.088865837
1/07/2009,0.26724,-0.016318786
1/08/2009,0.26652,0.003472222
1/09/2009,0.63796,-0.015378662
1/10/2009,0.2113,0.198360008
1/11/2009,-0.26357,-0.20136855
1/12/2009,0.10571,-0.115463076
1/01/2010,0.47518,0.135608902
1/02/2010,0.99842,-0.207961039
1/03/2010,0.78044,-0.097948718
1/04/2010,1.44553,0.253553098
1/05/2010,1.22137,0.454421835
1/06/2010,-0.8547,0.077019052
1/07/2010,-0.81136,-0.319629435
1/08/2010,-0.76687,0.108510596
1/09/2010,-0.10304,-0.090211059
1/10/2010,-0.05157,-0.105485228
1/11/2010,-0.1032,0.110377353
1/12/2010,0.30992,-0.245964348
1/01/2011,0.87539,0.100281746
1/02/2011,1.12302,-0.060419915
1/03/2011,0.80767,-0.033242507
1/04/2011,0.70105,-0.16854566
1/05/2011,0.24863,0.047457627
1/06/2011,0.14881,0.069255663
1/07/2011,0.34671,0.528450363
1/08/2011,0.09872,0.252277267
1/09/2011,-0.04931,0.358633701
1/10/2011,0,-0.302607083
1/11/2011,-0.24667,-0.072096131
1/12/2011,0,-0.158273351
1/01/2012,0.84075,-0.169230726
1/02/2012,0.58852,-0.051954781
1/03/2012,0.29254,-0.158979924
1/04/2012,0.29169,0.106451613
1/05/2012,0.09695,0.402915394
1/06/2012,0.04843,-0.290108034
1/07/2012,-0.19361,0.108313817
1/08/2012,-0.33948,-0.077126307
1/09/2012,0.53528,-0.099599262
1/10/2012,-0.53243,0.18245391
1/11/2012,0.04866,-0.146774194
1/12/2012,0.38911,0.13547574
1/01/2013,0.96899,-0.20754717
1/02/2013,0.33589,0.086134454
1/03/2013,0.33477,-0.181173436
1/04/2013,0.42898,0.064566929
1/05/2013,-0.56953,0.205621228
1/06/2013,-0.33413,0.034355953
1/07/2013,-0.23946,-0.202253903
1/08/2013,0.28805,0.264684015
1/09/2013,0,-0.024103469
1/10/2013,0.19148,-0.171686747
1/11/2013,0.23889,-0.003636364
1/12/2013,0,0.001459854
1/01/2014,0.90562,0.341836735
1/02/2014,0.47237,-0.239543726
1/03/2014,0.3291,-0.008571429
1/04/2014,0.09372,-0.033861671
1/05/2014,0.32772,-0.149888143
1/06/2014,0.09333,0.014912281
1/07/2014,0.13986,0.464995765
1/08/2014,0.32588,-0.286725706
1/09/2014,0.09281,0.349048718
1/10/2014,0.09272,-0.139791486
1/11/2014,-0.04632,-0.049893086
1/12/2014,-0.13902,0.440360165
1/01/2015,0.13921,0.092187391
1/02/2015,-0.2317,-0.363853093
1/03/2015,-0.13934,0.146176912
1/04/2015,-0.23256,-0.048397646
1/05/2015,-0.37296,-0.048797251
1/06/2015,0,0.317196532
1/07/2015,0,-0.335161821
1/08/2015,-0.18718,1.345709571
1/09/2015,-0.37506,-0.13823426
1/10/2015,-0.04706,-0.384897959
1/11/2015,-0.32957,0.070338354
1/12/2015,-0.37789,0.128952271
1/01/2016,0.23708,0.109280731
1/02/2016,-0.0473,0.017326633
1/03/2016,0.14198,-0.32116785
1/04/2016,0.51985,0.125448029
1/05/2016,0.47015,-0.096178344
1/06/2016,0.42115,0.101479915
1/07/2016,0.32619,-0.24056302
1/08/2016,0.32513,0.130581297
1/09/2016,-0.32407,-0.009687034
1/10/2016,-0.23223,0.283671859
1/11/2016,-0.13966,-0.218640048
1/12/2016,0.4662,0.053263316
1/01/2017,0.83527,-0.146011396
1/02/2017,0.69029,0.077564637
1/03/2017,0.41133,-0.042569659
1/04/2017,0.59172,-0.125303153
1/05/2017,0.31674,-0.037892791
1/06/2017,0.09021,0.073967339
1/07/2017,0,-0.082289803
1/08/2017,0.22533,0.032163743
1/09/2017,0.31475,-0.101983003
1/10/2017,0.35858,0.070452156
1/11/2017,0,0.10805501
1/12/2017,0.08933,-0.021276596
