DATE,Monthly Worker Change,Monthly Interest Rate Change
2011-02-01,0.37709,-0.011601382
2011-03-01,0.60823,-0.018076037
2011-04-01,0.19559,-0.040709677
2011-05-01,-0.60337,-0.004129032
2011-06-01,1.32119,-0.001870968
2011-07-01,-0.42291,-0.021032258
2011-08-01,-0.12387,0.02483871
2011-09-01,0.21262,-0.011806452
2011-10-01,1.0785,-0.013354839
2011-11-01,0.03498,0.010354839
2011-12-01,0.54205,-0.009387097
2012-01-01,0.03478,0.010322581
2012-02-01,0.27816,0.02185762
2012-03-01,-0.65881,0.02298109
2012-04-01,-0.17452,0.01255914
2012-05-01,0.34965,0.016473118
2012-06-01,0.38328,0.005860215
2012-07-01,1.24957,-0.005215054
2012-08-01,0.23997,-0.024193548
2012-09-01,0.2907,0.012075269
2012-10-01,-0.64791,0.014053763
2012-11-01,1.40724,0.00227957
2012-12-01,0.64309,0.003849462
2013-01-01,0.15134,-0.021935484
2013-02-01,0.38617,0.002419355
2013-03-01,0.66901,-0.001451613
2013-04-01,0.947,0.001451613
2013-05-01,0.46083,-0.035967742
2013-06-01,0.06553,-0.015365591
2013-07-01,-0.03274,-0.001086022
2013-08-01,0.52407,-0.009677419
2013-09-01,0.2118,-0.002903226
2013-10-01,0.99171,0.007096774
2013-11-01,0.7405,-0.002763441
2013-12-01,0.44743,0.000827957
2014-01-01,0.60452,-0.013548387
2014-02-01,1.45478,-0.005184332
2014-03-01,0.12469,0.011635945
2014-04-01,1.2609,0.012268817
2014-05-01,-0.07686,-0.003236559
2014-06-01,1.09231,0.008569892
2014-07-01,1.21747,-0.004698925
2014-08-01,0.70666,-0.002903226
2014-09-01,1.11974,0.000268817
2014-10-01,-0.47246,0.000698925
2014-11-01,0.3857,0.002967742
2014-12-01,-0.60588,0.030580645
2015-01-01,1.11508,-0.007741935
2015-02-01,0.04411,-0.004124424
2015-03-01,0.24985,0.00218894
2015-04-01,0.38118,0.011763441
2015-05-01,0.77406,-0.00144086
2015-06-01,-0.21739,0.005774194
2015-07-01,1.33624,0.001322581
2015-08-01,0.07166,0.007741935
2015-09-01,0.22916,-0.002064516
2015-10-01,0.40011,-0.012451613
2015-11-01,0.89667,-0.00588172
2015-12-01,0.56425,0.122978495
2016-01-01,0.18235,0.102258065
2016-02-01,0.39205,0.032269188
2016-03-01,0.48815,-0.012914349
2016-04-01,0.79112,0.003075269
2016-05-01,0.08262,-0.000172043
2016-06-01,0.08255,0.012505376
2016-07-01,0.09623,0.013946237
2016-08-01,0.85153,0.00516129
2016-09-01,1.44355,-0.00044086
2016-10-01,-0.14767,0.00011828
2016-11-01,0.02689,0.010215054
2016-12-01,-0.28226,0.133333333
2017-01-01,0.32349,0.109677419
2017-02-01,0.44337,0.007108295
2017-03-01,-0.14714,0.129343318
2017-04-01,-0.18754,0.109870968
2017-05-01,0.28184,0.011419355
2017-06-01,0.04015,0.132580645
2017-07-01,0.76254,0.110645161
2017-08-01,-0.06638,0.006451613
2017-09-01,-0.06643,-0.003763441
2017-10-01,0.99708,0.000537634
2017-11-01,0.47387,0.003129032
2017-12-01,1.20529,0.144612903
